,S_Pedro,S_Santiago,S_Juan,S_Andrés,S_Bartolomé,S_Tiago,S_Isca,S_Tadeo,S_Mateo,S_Felipe,S_Simón,S_Tomás
2020-09-23 14:00:00,-1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,0.0,0.0,-1.0,1.0
2020-09-23 14:01:00,-1.0,1.5,1.0,-1.0,0.5,0.5,0.5,1.5,0.5,0.0,-1.0,0.5
2020-09-23 14:02:00,-1.0,2.0,1.3333333333333333,-1.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,1.3333333333333333,1.0,-0.3333333333333333,-1.0,0.6666666666666666
2020-09-23 14:03:00,-0.75,2.5,1.75,-1.25,0.0,1.0,0.25,1.25,1.25,-0.25,-1.0,0.5
2020-09-23 14:04:00,-0.8,2.8,2.0,-1.2,-0.4,1.4,0.4,1.4,1.4,0.0,-1.0,0.6
2020-09-23 14:05:00,-1.0,3.0,2.3333333333333335,-1.1666666666666667,-0.8333333333333334,1.6666666666666667,0.5,1.5,1.5,0.3333333333333333,-1.1666666666666667,0.5
2020-09-23 14:06:00,-1.2857142857142858,3.142857142857143,2.4285714285714284,-1.0,-1.1428571428571428,2.0,0.7142857142857143,1.7142857142857142,1.7142857142857142,0.42857142857142855,-1.4285714285714286,0.2857142857142857
2020-09-23 14:07:00,-1.5,3.125,2.625,-0.75,-1.25,2.125,0.75,1.875,1.75,0.375,-1.75,0.125
2020-09-23 14:08:00,-1.5555555555555556,3.0,2.888888888888889,-0.5555555555555556,-1.2222222222222223,2.111111111111111,0.6666666666666666,2.111111111111111,1.6666666666666667,0.4444444444444444,-2.111111111111111,0.1111111111111111
2020-09-23 14:09:00,-1.7,3.0,3.2,-0.4,-1.2,2.0,0.7,2.4,1.6,0.4,-2.4,0.0
2020-09-23 14:10:00,-1.7272727272727273,3.0,3.3636363636363638,-0.18181818181818182,-1.0909090909090908,2.0,0.6363636363636364,2.6363636363636362,1.4545454545454546,0.45454545454545453,-2.5454545454545454,-0.09090909090909091
2020-09-23 14:11:00,-1.6666666666666667,2.9166666666666665,3.4166666666666665,-0.08333333333333333,-1.0833333333333333,1.9166666666666667,0.6666666666666666,2.75,1.3333333333333333,0.5833333333333334,-2.75,-0.25
2020-09-23 14:12:00,-1.6153846153846154,2.769230769230769,3.5384615384615383,-0.07692307692307693,-1.0769230769230769,1.7692307692307692,0.7692307692307693,2.923076923076923,1.1538461538461537,0.7692307692307693,-2.923076923076923,-0.46153846153846156
2020-09-23 14:13:00,-1.5714285714285714,2.7142857142857144,3.642857142857143,-0.07142857142857142,-1.1428571428571428,1.6428571428571428,0.9285714285714286,3.0714285714285716,1.0,0.8571428571428571,-3.0,-0.7142857142857143
2020-09-23 14:14:00,-1.5333333333333334,2.6666666666666665,3.7333333333333334,-0.06666666666666667,-1.2,1.4666666666666666,1.0,3.2,0.8666666666666667,1.0,-3.0,-1.0
2020-09-23 14:15:00,-1.5625,2.5625,3.75,-0.125,-1.3125,1.375,1.0625,3.375,0.8125,1.1875,-2.9375,-1.1875
2020-09-23 14:16:00,-1.5294117647058822,2.411764705882353,3.7058823529411766,-0.11764705882352941,-1.3529411764705883,1.2352941176470589,1.1176470588235294,3.4705882352941178,0.8235294117647058,1.2941176470588236,-2.9411764705882355,-1.3529411764705883
2020-09-23 14:17:00,-1.4444444444444444,2.3333333333333335,3.611111111111111,-0.1111111111111111,-1.3888888888888888,1.1666666666666667,1.2222222222222223,3.611111111111111,0.8333333333333334,1.4444444444444444,-2.888888888888889,-1.5555555555555556
2020-09-23 14:18:00,-1.368421052631579,2.210526315789474,3.473684210526316,-0.05263157894736842,-1.4210526315789473,1.0526315789473684,1.263157894736842,3.6842105263157894,0.8947368421052632,1.631578947368421,-2.8421052631578947,-1.736842105263158
2020-09-23 14:19:00,-1.35,2.05,3.3,0.05,-1.45,0.9,1.3,3.8,0.95,1.85,-2.85,-1.85
2020-09-23 14:20:00,-1.2857142857142858,1.9523809523809523,3.142857142857143,0.09523809523809523,-1.5238095238095237,0.8095238095238095,1.3333333333333333,3.857142857142857,1.0476190476190477,2.0476190476190474,-2.857142857142857,-2.0
2020-09-23 14:21:00,-1.2727272727272727,1.8636363636363635,2.9545454545454546,0.18181818181818182,-1.5909090909090908,0.7727272727272727,1.4090909090909092,3.909090909090909,1.1818181818181819,2.272727272727273,-2.8636363636363638,-2.090909090909091
2020-09-23 14:22:00,-1.2173913043478262,1.7826086956521738,2.782608695652174,0.2608695652173913,-1.6956521739130435,0.6956521739130435,1.4782608695652173,3.9565217391304346,1.3043478260869565,2.4782608695652173,-2.8260869565217392,-2.130434782608696
